date,country,real_gdp,cpi,unemployment_rate,epu,10_yr_yld,3_mo_yld,oecd_rec,ind_out,comp_consumer_conf,pcar_reg,vix
1914-01-01,Canada,,4.740585,,,,,,,,,
1914-02-01,Canada,,4.740585,,,,,,,,,
1914-03-01,Canada,,4.740585,,,,,,,,,
1914-04-01,Canada,,4.740585,,,,,,,,,
1914-05-01,Canada,,4.661575,,,,,,,,,
1914-06-01,Canada,,4.740585,,,,,,,,,
1914-07-01,Canada,,4.661575,,,,,,,,,
1914-08-01,Canada,,4.740585,,,,,,,,,
1914-09-01,Canada,,4.740585,,,,,,,,,
1914-10-01,Canada,,4.819594,,,,,,,,,
1914-11-01,Canada,,4.819594,,,,,,,,,
1914-12-01,Canada,,4.819594,,,,,,,,,
1915-01-01,Canada,,4.819594,,,,,,,,,
1915-02-01,Canada,,4.819594,,,,,,,,,
1915-03-01,Canada,,4.819594,,,,,,,,,
1915-04-01,Canada,,4.819594,,,,,,,,,
1915-05-01,Canada,,4.819594,,,,,,,,,
1915-06-01,Canada,,4.819594,,,,,,,,,
1915-07-01,Canada,,4.819594,,,,,,,,,
1915-08-01,Canada,,4.819594,,,,,,,,,
1915-09-01,Canada,,4.819594,,,,,,,,,
1915-10-01,Canada,,4.819594,,,,,,,,,
1915-11-01,Canada,,4.977614,,,,,,,,,
1915-12-01,Canada,,4.977614,,,,,,,,,
1916-01-01,Canada,,5.056623,,,,,,,,,
1916-02-01,Canada,,5.135633,,,,,,,,,
1916-03-01,Canada,,5.135633,,,,,,,,,
1916-04-01,Canada,,5.135633,,,,,,,,,
1916-05-01,Canada,,5.135633,,,,,,,,,
1916-06-01,Canada,,5.214643,,,,,,,,,
1916-07-01,Canada,,5.214643,,,,,,,,,
1916-08-01,Canada,,5.214643,,,,,,,,,
1916-09-01,Canada,,5.372662999999999,,,,,,,,,
1916-10-01,Canada,,5.451673,,,,,,,,,
1916-11-01,Canada,,5.609692,,,,,,,,,
1916-12-01,Canada,,5.688701999999999,,,,,,,,,
1917-01-01,Canada,,5.846721,,,,,,,,,
1917-02-01,Canada,,5.846721,,,,,,,,,
1917-03-01,Canada,,6.004741,,,,,,,,,
1917-04-01,Canada,,6.004741,,,,,,,,,
1917-05-01,Canada,,6.24177,,,,,,,,,
1917-06-01,Canada,,6.32078,,,,,,,,,
1917-07-01,Canada,,6.32078,,,,,,,,,
1917-08-01,Canada,,6.32078,,,,,,,,,
1917-09-01,Canada,,6.32078,,,,,,,,,
1917-10-01,Canada,,6.478799,,,,,,,,,
1917-11-01,Canada,,6.478799,,,,,,,,,
1917-12-01,Canada,,6.557809,,,,,,,,,
1918-01-01,Canada,,6.636817999999999,,,,,,,,,
1918-02-01,Canada,,6.715828,,,,,,,,,
1918-03-01,Canada,,6.794838,,,,,,,,,
1918-04-01,Canada,,6.794838,,,,,,,,,
1918-05-01,Canada,,6.873848,,,,,,,,,
1918-06-01,Canada,,6.952857000000001,,,,,,,,,
1918-07-01,Canada,,7.031867,,,,,,,,,
1918-08-01,Canada,,7.268897,,,,,,,,,
1918-09-01,Canada,,7.268897,,,,,,,,,
1918-10-01,Canada,,7.347906,,,,,,,,,
1918-11-01,Canada,,7.426916,,,,,,,,,
1918-12-01,Canada,,7.426916,,,,,,,,,
1919-01-01,Canada,,7.505926,,,,,,,,,
1919-01-01,USA,,,,,,,,4.824014,,,
1919-02-01,Canada,,7.426916,,,,,,,,,
1919-02-01,USA,,,,,,,,4.610792,,,
