date,country,oecd_rec,yield_spread,gdp_yoy_growth,inflation_rate,unemp_change_yoy,ind_out_growth,cars_yoy_growth,epu,comp_consumer_conf,vix
1995/1/1,Canada,0,2.783,4.721823503,0.11682281,-1.5,7.960899588,-100,132.99119,99.86313416,12.48
1995/1/1,France,0,1.7487,2.908836513,1.635289268,0.4,4.492232145,-100,95.0014,100.7766,12.48
1995/1/1,Germany,0,1.926190476,2.262614511,2.451613974,0.7,5.873259192,-100,95.3485,100.0999,12.48
1995/1/1,USA,0,2.57,4.337048255,2.770078738,-0.8,5.552082004,100,85.37095,100.5505,12.48
1995/2/1,Canada,0,3.216363636,4.721823503,0.116686493,-1,7.445410454,-100,133.95896,100.0738753,11.89
1995/2/1,France,0,2.0511,2.908836513,1.621547341,0.2,5.769010508,-100,115.10947,100.9216,11.89
1995/2/1,Germany,0,2.089565217,2.262614511,2.709672779,0.5,1.48147158,-100,68.05472,100.2551,11.89
1995/2/1,USA,0,2.43,4.337048255,2.900561213,-0.8,6.373611036,-100,92.82606,100.5967,11.89
1995/3/1,Canada,0,3.260357143,4.721823503,0.233372987,-1.4,6.994199634,-100,126.11412,99.99222594,13.23
1995/3/1,France,0,2.4732,2.908836513,1.616438356,-0.1,4.741532027,-100,77.29765,101.1545,13.23
1995/3/1,Germany,0,2.445454545,2.262614511,2.583991674,0.4,3.422624559,-100,46.68277,100.3469,13.23
1995/3/1,USA,0,2.43,4.337048255,2.963463774,-0.8,6.137956294,-100,90.63002,100.6677,13.23
1995/4/1,Canada,0,3.622,5.033274019,-0.232829625,-1.3,6.606690126,-17.66875722,88.68997,99.68265755,15.25
1995/4/1,France,0,2.5423,3.486191347,1.65458772,-0.2,5.246045665,-16.19588407,148.32245,101.1989,15.25
1995/4/1,Germany,0,2.3215,3.573310483,2.454795553,0.2,5.357148917,-36.48429866,73.98386,100.3838,15.25
1995/4/1,USA,0,2.23,4.116167021,2.608097717,-1,6.222546766,-72.89589273,76.49899,100.7621,15.25
1995/5/1,Canada,0,3.471428571,5.033274019,-0.115875229,-1.5,7.562607112,-100,93.3871,99.43163494,16.38
1995/5/1,France,0,2.5281,3.486191347,1.571038251,-0.4,6.875143539,-100,98.58876,101.1158,16.38
1995/5/1,Germany,0,2.281428571,3.573310483,2.451613974,0.1,6.906918441,-100,114.62066,100.2166,16.38
